seed,mse_3_text_audio_prompt1,mse_7_text_audio_prompt1,mse_15_text_audio_prompt1,mse_30_text_audio_prompt1,avg_mse_text_audio_prompt1,mse_3_volonly,mse_7_volonly,mse_15_volonly,mse_30_volonly,avg_mse_volonly,mse_3_text_only,mse_7_text_only,mse_15_text_only,mse_30_text_only,avg_mse_text_only,mse_3_text_audio_prompt2,mse_7_text_audio_prompt2,mse_15_text_audio_prompt2,mse_30_text_audio_prompt2,avg_mse_text_audio_prompt2,mse_3_audio_only,mse_7_audio_only,mse_15_audio_only,mse_30_audio_only,avg_mse_audio_only,mse_3_chunk_text_audio,mse_7_chunk_text_audio,mse_15_chunk_text_audio,mse_30_chunk_text_audio,avg_mse_chunk_text_audio,mse_3_random_nonqa,mse_7_random_nonqa,mse_15_random_nonqa,mse_30_random_nonqa,avg_mse_random_nonqa
43,0.3190504908561706,0.1790307760238647,0.2291350811719894,0.1558580100536346,0.2207685895264148,0.3281663656234741,0.1983279436826706,0.2743534445762634,0.1929957270622253,0.2484608702361583,0.31911101937294,0.1792251318693161,0.2296776920557022,0.1562809497117996,0.2210736982524395,0.3190767467021942,0.1791438311338424,0.2294511497020721,0.1561064273118972,0.2209445387125015,0.319233238697052,0.1794397085905075,0.2301149368286132,0.1566009819507599,0.2213472165167331,0.319248765707016,0.1803372055292129,0.232366532087326,0.1586034446954727,0.2226389870047569,0.3190864622592926,0.1792475581169128,0.2297605276107788,0.1563927233219146,0.2211218178272247
44,0.3343874812126159,0.1900624930858612,0.1745203286409378,0.130716472864151,0.2074216939508915,0.3346107900142669,0.1934720128774643,0.1910620778799057,0.1476557254791259,0.2167001515626907,0.3344009816646576,0.1900554150342941,0.174527958035469,0.1307487934827804,0.2074332870543003,0.3343620002269745,0.1900861710309982,0.1747500598430633,0.1309186220169067,0.2075292132794857,0.3344675600528717,0.1899755150079727,0.1736982762813568,0.1298736780881881,0.2070037573575973,0.3343048691749573,0.1900341808795929,0.1743586808443069,0.1304384768009185,0.2072840519249439,0.3343931138515472,0.190016508102417,0.1743084192276001,0.1304765790700912,0.2072986550629139
45,0.3368965089321136,0.185634896159172,0.2345038056373596,0.1462573856115341,0.2258231490850448,0.355235606431961,0.2080245167016983,0.2806628048419952,0.1784416437149047,0.2555911429226398,0.3367581367492676,0.1854937225580215,0.2341141551733017,0.1460305601358413,0.225599143654108,0.3369618952274322,0.1857269257307052,0.2346674799919128,0.1463875025510788,0.2259359508752823,0.3371099233627319,0.1858849376440048,0.2350747734308242,0.1465988904237747,0.2261671312153339,0.3368720412254333,0.1860450506210327,0.2357667088508606,0.1450905054807663,0.2259435765445232,0.3369501531124115,0.1857555955648422,0.2347553223371505,0.1463514566421508,0.2259531319141388
46,0.3180617988109588,0.1710605323314666,0.2049718499183654,0.152341291308403,0.2116088680922985,0.3304308652877807,0.18519888818264,0.2494315057992935,0.1929233372211456,0.239496149122715,0.3178472518920898,0.1708225160837173,0.2037842571735382,0.151329904794693,0.2109459824860096,0.3178435862064361,0.1707998216152191,0.2039096355438232,0.1513954997062683,0.2109871357679367,0.3180122971534729,0.1710100919008255,0.204857662320137,0.1522559225559234,0.2115339934825897,0.3194514811038971,0.173069879412651,0.209815114736557,0.1554503142833709,0.214446697384119,0.317680299282074,0.1705585569143295,0.2032043784856796,0.1507693082094192,0.2105531357228756
48,0.3301838040351867,0.1839993298053741,0.2121737450361251,0.1631821990013122,0.2223847694694996,0.3483742773532867,0.2036965638399124,0.2500659823417663,0.1988991349935531,0.2502589896321296,0.3299679756164551,0.1837429702281952,0.2115862667560577,0.1627190262079239,0.2220040597021579,0.3302462100982666,0.1840652078390121,0.212281584739685,0.1632471829652786,0.2224600464105606,0.3302981257438659,0.1841951310634613,0.2126422375440597,0.1635155230760574,0.2226627543568611,0.3318422138690948,0.1863899230957031,0.2175069004297256,0.1677985936403274,0.2258844077587127,0.3302761614322662,0.1841162592172622,0.2124301791191101,0.1635032445192337,0.222581461071968
50,0.3313233852386474,0.187446653842926,0.1749475449323654,0.1230459362268447,0.2041908800601959,0.3309575617313385,0.1913565993309021,0.1903243660926818,0.1339221149682998,0.2116401605308056,0.3313327133655548,0.1874180138111114,0.1746861636638641,0.1228571459650993,0.2040735092014074,0.3313585519790649,0.187355488538742,0.1744325309991836,0.1227358430624008,0.2039706036448478,0.3313734233379364,0.187333658337593,0.1743520498275756,0.1227140128612518,0.2039432860910892,0.3310252130031585,0.1873941123485565,0.1750881671905517,0.1240977048873901,0.2044012993574142,0.3313755989074707,0.1873093098402023,0.1741892248392105,0.1226212903857231,0.2038738559931516
53,0.3250947594642639,0.1750613003969192,0.2025400102138519,0.13383150100708,0.2091318927705288,0.3275957703590393,0.1813111901283264,0.2196459621191024,0.1493367552757263,0.2194724194705486,0.3249222040176391,0.174861654639244,0.202079638838768,0.1334408074617386,0.2088260762393474,0.3250472545623779,0.1749776303768158,0.2024001330137252,0.1336714923381805,0.2090241275727749,0.3250976502895355,0.1750946342945099,0.2026639878749847,0.1339879184961319,0.2092110477387905,0.3313640058040619,0.1830362826585769,0.2158604860305786,0.1375634670257568,0.2169560603797435,0.3250243663787842,0.1750518530607223,0.2026406079530716,0.1340486407279968,0.2091913670301437
59,0.3091416358947754,0.1650205105543136,0.1759441941976547,0.1175654381513595,0.1919179446995258,0.313947319984436,0.1737135201692581,0.2044826745986938,0.1368745416402816,0.2072545140981674,0.3090944290161133,0.1648912131786346,0.1754369437694549,0.1173182353377342,0.1916852053254842,0.3091299831867218,0.1650074273347854,0.1759134083986282,0.1175386533141136,0.1918973680585622,0.3091335594654083,0.1650173515081405,0.1758999079465866,0.1175241842865943,0.1918937508016824,0.3092606663703918,0.1655070632696151,0.1783667355775833,0.1189357787370681,0.1930175609886646,0.3090301752090454,0.1646822243928909,0.1745037883520126,0.116711176931858,0.1912318412214517
60,0.3466926515102386,0.17853944003582,0.206967145204544,0.1570349186658859,0.2223085388541221,0.3714910745620727,0.1995139867067337,0.25185027718544,0.1964262872934341,0.2548204064369201,0.3477565348148346,0.1794614791870117,0.2092012912034988,0.158910721540451,0.223832506686449,0.3468745648860931,0.1786371022462844,0.2070923894643783,0.1571682840585708,0.2224430851638317,0.3465040922164917,0.1782611310482025,0.2062291353940963,0.1563546806573867,0.2218372598290443,0.350748747587204,0.1819878071546554,0.214540883898735,0.163033127784729,0.2275776416063308,0.3465067148208618,0.1784892082214355,0.2068544775247573,0.1568710654973983,0.2221803665161132
61,0.3265553116798401,0.192090630531311,0.2147133499383926,0.1326900869607925,0.216512344777584,0.3328528702259063,0.2063018083572387,0.2352558076381683,0.1510542780160904,0.2313661910593509,0.3268881738185882,0.1929882615804672,0.2158513516187667,0.1336752325296402,0.2173507548868656,0.3266831338405609,0.1923605352640152,0.2150814533233642,0.1329813599586486,0.2167766205966472,0.326615959405899,0.1922838240861892,0.2150019258260727,0.1329085230827331,0.2167025581002235,0.3310230374336242,0.1952342092990875,0.2220390737056732,0.130523607134819,0.219704981893301,0.3266448378562927,0.1924974471330642,0.215215116739273,0.1332273185253143,0.2168961800634861
